case_id,round,company,metric,status,base_year,base_value,target_year,target_value,unit,listed_rate_pct,calculated_rate_pct,rate_diff_pt,source_method,page,year_status,issues,raw_support,raw
s1_outline_43,1次,丸井産業株式会社,労働生産性,PDF表セル・率検算確認済み,2025,6214,2028,7359,千円/人,5.79,5.7992,0.0092,case_representative_from_first_table,3,暦年確認,,true,"労働生産性
(単位:千円/人) | 6,214 | 7,359
(年平均上昇率+5.79%)"
s1_outline_43,1次,丸井産業株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2025,5677,2028,6614,千円/人,5.23,5.2241,0.0059,case_representative_from_first_table,3,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:千円/人) | 5,677 | 6,614
(年平均上昇率+5.23%)"
s1_outline_43,1次,丸井産業株式会社,役員1人当たり給与支給総額,PDFで数値なし・ハイフン,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_43,1次,丸井産業株式会社,補助事業に係る従業員数,PDF表セル確認済み,2025,1685,2028,1985,人,,,,case_representative_from_first_table,3,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 1,685 | 1,985"
s1_outline_45,1次,山本ビニター株式会社,労働生産性,PDF表セル・率検算確認済み,2027,1701,2030,2028,万円/人,6,6.0363,0.0363,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 1,701万円/人 | 2,028万円/人
(年平均上昇率+6.0%)"
s1_outline_45,1次,山本ビニター株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2027,728,2030,807,万円/人,3.5,3.4937,0.0063,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 728万円/人 | 807万円/人
(年平均上昇率+3.5%)"
s1_outline_45,1次,山本ビニター株式会社,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2027,,2030,,万円/人,4,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) - -
(年平均上昇率+4.0%)"
s1_outline_45,1次,山本ビニター株式会社,補助事業に係る従業員数,PDF表セル確認済み,2027,96,2030,110,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 96人 | 110人"
s1_outline_46,1次,株式会社アイスコ,労働生産性,PDF表セル・率検算確認済み,2027,654,2030,823,万円/人,7.93,7.9628,0.0328,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 654 | 823
(年平均上昇率+7.93%)"
s1_outline_46,1次,株式会社アイスコ,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2027,446,2030,503,万円/人,4.07,4.0905,0.0205,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 446 | 503
(年平均上昇率+4.07%)"
s1_outline_46,1次,株式会社アイスコ,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2027,,2030,,万円/人,0,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) - -
(年平均上昇率+0%)"
s1_outline_46,1次,株式会社アイスコ,補助事業に係る従業員数,PDF表セル確認済み,2027,158,2030,188,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 158 | 188"
s1_outline_47,1次,ポーライト株式会社,労働生産性,PDF表セル・率検算確認済み,2025,1001,2028,1414,万円/人,12.3,12.2032,0.0968,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 1,001万円/人 | 1,414万円/人
(年平均上昇率+12.3%)"
s1_outline_47,1次,ポーライト株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2025,610,2028,684,万円/人,3.9,3.8904,0.0096,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 610万円/人 | 684万円
(年平均上昇率+3.9%)"
s1_outline_47,1次,ポーライト株式会社,役員1人当たり給与支給総額,PDF表セル確認済み,2025,0,2028,0,万円/人,0,,,table_cells,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) | 0 | 0
(年平均上昇率+0%)"
s1_outline_47,1次,ポーライト株式会社,補助事業に係る従業員数,PDF表セル確認済み,2025,183,2028,186,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 183人 | 186人"
s1_outline_48,1次,SINGS株式会社,労働生産性,PDF表セル・率検算確認済み,2026,547,2029,1297,万円/人,33.3,33.3473,0.0473,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 547 | 1,297
(年平均上昇率+33.3%)"
s1_outline_48,1次,SINGS株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,214,2029,254,万円/人,5.9,5.8782,0.0218,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 214 | 254
(年平均上昇率+5.9%)"
s1_outline_48,1次,SINGS株式会社,役員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,1361,2029,1616,万円/人,5.9,5.8915,0.0085,table_cells,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) | 1,361 | 1,616
(年平均上昇率+5.9%)"
s1_outline_48,1次,SINGS株式会社,補助事業に係る従業員数,PDF表セル確認済み,2026,115,2029,175,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 115 | 175"
s1_outline_49,1次,株式会社ＡＫシステム,労働生産性,PDF表セル・率検算確認済み,2025,632,2028,817,万円/人,8.9,8.9352,0.0352,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 632 | 817
(年平均上昇率+8.9%)"
s1_outline_49,1次,株式会社ＡＫシステム,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2025,418,2028,470,万円/人,4,3.9858,0.0142,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 418 | 470
(年平均上昇率+4.0%)"
s1_outline_49,1次,株式会社ＡＫシステム,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2025,,2028,,万円/人,4,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) ー ー
(年平均上昇率+4.0%)"
s1_outline_49,1次,株式会社ＡＫシステム,補助事業に係る従業員数,PDF表セル確認済み,2025,110,2028,125,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 110 | 125"
s1_outline_5,1次,大森機械工業株式会社,労働生産性,PDF表セル・率検算確認済み,2026,1184,2029,1398,万円/人,5.7,5.6944,0.0056,case_representative_from_multi_entity,2,暦年確認,,true,"労働生産性 | 1,184万円/人 | 1,398万円/人
(年平均上昇率+5.70%) | 15,270万円/人 | 40,319万円/人
(年平均上昇率+38.22%)"
s1_outline_5,1次,大森機械工業株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,721,2029,811,万円/人,4,3.9988,0.0012,case_representative_from_multi_entity,2,暦年確認,,true,"従業員1人あたり
給与支給総額 | 721万円/人 | 811万円/人
(年平均上昇率+4.0%) | 0万円/人 | 0万円/人"
s1_outline_5,1次,大森機械工業株式会社,役員1人当たり給与支給総額,PDFで数値なし・ハイフン,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_5,1次,大森機械工業株式会社,補助事業に係る従業員数,PDF表セル確認済み,2026,685,2029,730,人,,,,case_representative_from_multi_entity,2,暦年確認,,true,"補助事業に係る
従業員数 | 685人 | 730人 | 0人 | 0人"
