case_id,round,company,series_id,series_label,point_type,period_label,year_before_correction,year_after_correction,year_correction_method,year,month_before_correction,month_after_correction,month,sales_oku_yen,page,pdf_url
s1_outline__202,2次,アライドコーヒーロースターズ株式会社,s1_outline__202_sales_02,長期,baseline,2024年3月期,,2024,four_digit_year_from_label,2024,,3,3,120,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__202.pdf
s1_outline__202,2次,アライドコーヒーロースターズ株式会社,s1_outline__202_sales_02,長期,target,2050年3月期,,2050,four_digit_year_from_label,2050,,3,3,1400,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__202.pdf
s1_outline__204,2次,メック株式会社,s1_outline__204_sales_01,単体,baseline,2025,2025,2025,existing_normalized_year,2025,,,,116,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__204.pdf
s1_outline__207,2次,株式会社ジェイ・イー・ティ,s1_outline__207_sales_01,会社全体,baseline,2023,2023,2023,existing_normalized_year,2023,,,,244,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__207.pdf
s1_outline__207,2次,株式会社ジェイ・イー・ティ,s1_outline__207_sales_01,会社全体,target,2033,2033,2033,existing_normalized_year,2033,,,,500,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__207.pdf
s2_outline_1,3次,株式会社角藤,s2_outline_1_sales_01,会社全体,baseline,2025年1月期（実績）,2025,2025,existing_normalized_year,2025,1,1,1,618.87,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_1.pdf
s2_outline_1,3次,株式会社角藤,s2_outline_1_sales_01,会社全体,target,2031年1月期,2031,2031,existing_normalized_year,2031,1,1,1,1000,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_1.pdf
s2_outline_1,3次,株式会社角藤,s2_outline_1_sales_02,うち補助事業,baseline,2025年1月期（実績）,2025,2025,existing_normalized_year,2025,1,1,1,255.72,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_1.pdf
s2_outline_1,3次,株式会社角藤,s2_outline_1_sales_02,うち補助事業,target,2031年1月期,2031,2031,existing_normalized_year,2031,1,1,1,500,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_1.pdf
s2_outline_103,3次,ベストアメニティ株式会社,s2_outline_103_sales_02,ドッグフード製造販売額,baseline,設備投資前,,,unresolved_relative_or_missing_context,,,,,29.59,2,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_103.pdf
s2_outline_103,3次,ベストアメニティ株式会社,s2_outline_103_sales_02,ドッグフード製造販売額,target,設備投資後,,,unresolved_relative_or_missing_context,,,,,73,2,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_103.pdf
s2_outline_103,3次,ベストアメニティ株式会社,s2_outline_103_sales_03,キャットフード製造販売額,baseline,設備投資前,,,unresolved_relative_or_missing_context,,,,,0.26,2,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_103.pdf
s2_outline_103,3次,ベストアメニティ株式会社,s2_outline_103_sales_03,キャットフード製造販売額,target,設備投資後,,,unresolved_relative_or_missing_context,,,,,37,2,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_103.pdf
s2_outline_103,3次,ベストアメニティ株式会社,s2_outline_103_sales_04,ペットフード合計販売額,baseline,設備投資前,,,unresolved_relative_or_missing_context,,,,,29.85,2,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_103.pdf
s2_outline_103,3次,ベストアメニティ株式会社,s2_outline_103_sales_04,ペットフード合計販売額,target,設備投資後,,,unresolved_relative_or_missing_context,,,,,110,2,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_103.pdf
s2_outline_104,3次,アイサービス株式会社,s2_outline_104_sales_01,会社全体の売上成長目標,baseline,2024年6月（グラフ表記「24/6」）,2024,2024,existing_normalized_year,2024,6,6,6,94,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_104.pdf
s2_outline_104,3次,アイサービス株式会社,s2_outline_104_sales_01,会社全体の売上成長目標,target,2030年度（工場建設3年後）,2030,2030,existing_normalized_year,2030,,,,219,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_104.pdf
s2_outline_105,3次,株式会社シード,s2_outline_105_sales_02,中長期連結売上高目標,target,中長期,,,unresolved_relative_or_missing_context,,,,,500,1,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_105.pdf
