case_id,round,company,page,page_role,box_no,box_type,box_label,box_title,bbox_x1,bbox_y1,bbox_x2,bbox_y2,source_method,company_header_masked,text,pdf_url
s1_outline_100,1次,マリンフード株式会社,1,長期成長ビジョン,3,internal_motivation,内発的動機,内発的動機,427.68,218.73,833.04,451.88,vector_rectangle,false,"内発的動機
スティリーノの原木は本社豊中工場（5,400t/年）及び長浜工場（1,900t/年）で生
産している。最終製品への仕上げ工程は長浜工場及び泉大津工場で行ってい
るが長浜工場にて一貫生産をする事によって、飛躍的に品質の向上を図る。
何よりも一定した温度管理の下で最終商品まで生産できる事は品質向上に大
きく寄与する。そして運送費の大幅な削減を達成し、収益の抜本的な改善を図
りたい。
現在、製造が需要に追い付かない程、受注が逼迫しているため、長浜工場で
は24時間稼働を実施し対応しているが、十分な供給力を備えた新工場を建設
する必要がある。抜本的な課題は冷却設備の不足。さらに現行の平面冷蔵庫
では人力での積み替えの為、不均一な冷却となる場合があり歩留を悪化させ
ている。さらに原料計量を人力に頼っており、人手も時間も要している事から
ヒューマンエラーの可能性も排除できない。
また、労働負荷を解消し働きやすい環境を整え昨今の人材不足確保に繋げた
い。さらに、自動化機械設備を導入する事によって省人化を図り増産・増益を
実現し地域経済の発展にも寄与することで従業員の賃上げが実現可能となる。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_100,1次,マリンフード株式会社,1,長期成長ビジョン,4,sales_target,売上成長目標,売上成長目標,33.36,499.64,388.68,577.88,vector_rectangle,false,"売上成長目標
• 2038年までの会社全体の売上高成長率276％
• 2038年までの会社全体の売上高増加額638億円
※弊社2023年事業発展計画書P８より",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_100,1次,マリンフード株式会社,2,補助事業の概要,1,long_term_vision,長期成長ビジョン（目指す姿・ビジネスモデル）,長期成長ビジョン（目指す姿・ビジネスモデル）,204.84,79.2,433.63,294.4,heading_region_fallback,false,"）、自動計量器を導入し省力・省人化で労働
して長期成長ビジョンに掲げる国内代替食品業
高騰により自社存続をかけて開発、商品化した植物油
続可能な発展(サスティナビリティ)、食物アレルギーにも対
られる供給が出来ておらず、追随する新規参入に先んじ
目指す。
賀県長浜市の工場脇スペースに増設）
自動倉庫（スティリーノ冷却システム）、自動計量器、ラ",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_101,1次,株式会社正興電機製作所,1,長期成長ビジョン,1,external_motivation,外発的動機,外発的動機,491.4,119.64,831.36,355.2,vector_rectangle,false,"【外発的動機】
〇気候変動への意識の高まりと技術進化
社会からの再生可能エネルギーの導入拡大とCO2排出量削
減への取り組み意識の高まりによる、企業への要請。
再生可能エネルギーによる発電技術や蓄電技術の進展による
エネルギーの効率的利用や分散化など、次世代エネルギーイン
フラへの進化。
〇DXによるスマートインフラの進展
IoTやAIなどの最新技術を活用したインフラシステムのスマー
ト化が加速。自動化や省人化など生産効率の向上や、設備
の管理・運用の高度化。
〇高齢化社会や規制強化による労働力の減少
高齢化社会による設備の維持・管理技術の減少や、労働時
間に関する規制強化による労働力不足問題。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,1,長期成長ビジョン,2,other,その他Box,〇⾧期経営ビジョン NEXT20 （2041年に向かって）,26.28,294.72,457.2,569.52,vector_rectangle,false,"〇⾧期経営ビジョン NEXT20 （2041年に向かって）
・連結売上高（2023～2041年）:1,000億円 増加額 729億円（369％）
〇中期経営計画 SEIKO IC2026（2022～2026年）
・連結売上高（2023～2026年）: 400億円 増加額 129億円（148%）
・単体売上高（2023～2026年）: 290億円 増加額 99億円（152%）
〇基本方針:企業活動・事業活動を通じた社会課題解決により、
サステナブルな社会の実現に貢献する
〇重点課題
①デジタルファースト （デジタル技術を活用した社会課題解決）
②脱炭素社会の実現 （カーボンニュートラルへの取り組み）
③One正興 (グループ総合力の発揮）",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,1,長期成長ビジョン,3,internal_motivation,内発的動機,内発的動機,491.4,361.2,832.2,563.76,vector_rectangle,false,"【内発的動機】
・当社は、IT・OT・プロダクトとデジタル技術を併せ持つ数少な
い企業グループである。また、当社がこれまで展開してきた事
業は、現在、求められているサステナブル社会の実現に向け
た取り組みそのものである。
・この事業環境の大きな変化は、当社が成⾧するチャンスであ
り、高い成⾧目標を設定するとともに、次の成⾧に向けた
事業基盤の強化、積極的な投資を加速する。
・新たなチャレンジ、社員のモチベーションの向上を図るとともに、
職場環境の整備、働き方改革、健康経営や人財育成に
取り組む。併せて株主様への利益還元や社員への報酬の
充実を実現する。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_102,1次,冬木工業株式会社,1,長期成長ビジョン,1,external_motivation,外発的動機,外発的動機,420.96,109.8,814.32,323.76,vector_rectangle,false,"外発的動機
• 10tまでの製造設備等Hグレード工場の限界、既存の工場では顧客
ニーズを満たすことができていない。工場の大型化、一本あたり10t超の
大型鉄骨製造案件の受注、最新設備導入は顧客からの要望でもある。
• 国の国土強靭化計画、社会インフラの老朽化と更新時期の到来、震
災等災害の多発、強靭な建造物が求められている。
• 東京都再開発、大型省人化物流施設建設、EC、AI等の電算セン
ター設立、インバウンド増のための宿泊施設建設など、中⾧期的に大型
で強靭な建設物・構築物市場は安定している。
• コロナ明けで溜まっていた大型案件建設、短期的市場は活性状態であ
る。インバウンドは継続的に増加、宿泊施設は不足している。省力化無
人化の物流倉庫、半導体製造施設、EC、ＡＩ用電算センターなどは
すでに設備投資ラッシュである。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_102,1次,冬木工業株式会社,1,長期成長ビジョン,2,long_term_vision,長期成長ビジョン（目指す姿・ビジネスモデル）,長期成長ビジョン（目指す姿・ビジネスモデル）,29.04,116.4,395.04,473.28,vector_rectangle,false,"⾧期成⾧ビジョン（目指す姿・ビジネスモデル）
• 新工場建設し、工場の大型化、20tクレーン、ロボット等最新設
備の導入、DXの推進等のハード面の投資を実施し、今まで取りこ
ぼしていた10t超鉄骨案件を獲得できるようにすること、生産性を
向上させることを、新事業の目的とする。2029年までに実現させる。
• 新事業が安定後は、人材ノウハウ技術をさらに充実させ、四面ボッ
クス生産設備の導入、地域の大学やベンチャー企業と連携しなが
ら研究所の設立、学会への発表など実施し、Sグレード認定を勝ち
取る準備を完了させ、申請をする。
• 顧客からのさまざまな幅広い顧客要望に応えられる企業となり、安
全安心の建設物、構築物を提供し続ける企業となる。地域建設
業界、鉄鋼業界をまとめるリーダーとなり、大型案件を一括で受注
できる協力体制を構築し、地域経済発展に貢献するリーダーとな
る。
• 建築部門と鉄構部門の2つを保有する企業として、製造面技術
面人材面の部門間の連携を高め、さらにQCD面の相乗効果を高
め、会社全体が成⾧する。
• 生産性向上や働き方改革、女性活躍、サステナビリティ等あらゆる
分野で、従来の建設業や中小企業のイメージを覆す取り組みを推
進する。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_102,1次,冬木工業株式会社,1,長期成長ビジョン,3,internal_motivation,内発的動機,内発的動機,420.96,327.48,814.32,582.96,vector_rectangle,false,"内発的動機
• 既存工場は老朽化し、狭く、生産効率も悪く、顧客要望に応えられなく
なりつつある。女性社員が増加したものの、女性に配慮したスペース、プ
ライベート空間の確保が難しくなっている。
• 10年勤続以上の人材は75名、人材は成⾧し経験が求められる高難
度で高い技術が必要な大型案件に十分に対応が可能となった。
• 工場の大型化、最新設備の導入、DXの推進等ハード面を整備すれば、
あらゆる顧客ニーズ対応が可能で、近い将来Sグレード工場認定が勝ち
取れる状況にある。
Sグレードとは鉄骨工場の認定グレード。（次スライドに説明）
• 財務は健全、資金力に問題は無い。大きな投資に耐えられる。
• 鉄構部門の強化により、建築部門が品質面、コスト面、納期面、営業
面で大きな相乗効果を得る。
• 創業97年、知名度、顧客評価高く、地域リーダーとして活躍する立場
になってきている。当社の成⾧と同時に会社理念である「四方よし」を大
きく実践することで、地域経済は活性化する。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_102,1次,冬木工業株式会社,1,長期成長ビジョン,4,sales_target,売上成長目標,売上成長目標,29.04,479.04,395.04,542.04,vector_rectangle,false,"売上成⾧目標
• 2029年までの会社全体の売上高成⾧率136％
• 2029年までの会社全体の売上高増加額65億円",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
