case_id,round,company,page,page_role,source_method,confidence,baseline_year,baseline_sales_oku,target_year,target_sales_oku,increase_oku,increase_target_year,stated_rate_pct,stated_rate_target_year,stated_rate_type,stated_cumulative_growth_pct,calculated_cagr_pct,reported_cagr_pct,multiple,validation_status,selection_score,raw,pdf_url
s2_outline_85,3次,Ｌ物流株式会社,1,長期成長ビジョン,sales_box_rectangle,high,2014,,2034,,47,2034,107.5,2034,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"売上成長目標
2014年に立てた「2034年までに売上高成長率107.5％の維持、年
商100億円」という目標は今回の補助事業により2031年3月期で達
成する前倒しの計画を策定。以降も、伸長率を落とすことなく増収傾向
を維持する。
会社全体の売上成長目標 （24年3月期～
30年3月期）
• 売上高成長率203.3％
• 売上高増加額47億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_85.pdf
s2_outline_86,3次,ヤマトスチール株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,420,2030,10,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"会社全体の売上成⻑⽬標（〜2030年）
• 売上⾼成⻑率10％
• 売上⾼増加額420億円
会社全体の賃上げ⽬標
• 0.1%（直近事業年度〜基準年度）
※熟練⼯退職に伴う世代交代により若年従業員⼤幅増加のため、賃上げは実施
するも基準年度までは上記数値に留まる⾒込み。
• 7.4%（基準年度〜事業化報告3年⽬）",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_86.pdf
s2_outline_87,3次,長野牛乳株式会社,1,長期成長ビジョン,sales_box_rectangle,high,2030,,2033,200,99,2033,122,2033,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,143,"会社全体の売上成長目標（2030年3月期）
• 売上高成長率122％
• 売上高増加額99億円
2033年度に売上高200億円を目指す！",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_87.pdf
s2_outline_88,3次,モルツウェル株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2031,100,82.1,2031,459,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,143,"会社全体の売上成長目標（～2031年度）
• 売上高100億円（2032/8期）← 17.9億円（2024/8期）
• 売上高増加額82.1億円、成長率459％",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_88.pdf
s2_outline_89,3次,北海道乳業株式会社,1,長期成長ビジョン,left_column_sales_band,medium,2023,316,2030,665,,,90.8,2030,売上高成長率（定義未確定）,,11.214670730140996,,,成長率定義要確認,85,"げを実現する。 産性向上を実現する。
〈売上成長目標〉
2030年度 売上高665億円（2023年度比＋316億円、90.8％増）営業利益65.3億円（2023年度比＋53.2億円、 442.6％増）
〈",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_89.pdf
s2_outline_9,3次,株式会社マルト水谷,1,長期成長ビジョン,sales_box_rectangle,high,2024,,2031,,255,2031,97.2,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（～2031年3月期）
• 売上高成長率97.2％（24年3月期比）
• 売上高増加額255億円（24年3月期比）",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_9.pdf
s2_outline_90,3次,有価物回収協業組合　石坂グループ,1,長期成長ビジョン,left_column_sales_band,medium,2024,,2031,45.67,,,13.38,2031,CAGR明記,,,,,Box内明記値確認済み（算術検算対象外）,85,"【財務の視点】
売上成長目標（直近期（2024年5月期→2031年5月期）
会社全体の売上高：45.67億円→110.01億円
（売上高：64.34億円の増加・CAGR：13.38％）",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_90.pdf
s2_outline_91,3次,ＫＩＤＯ　ＰＡＣＫＡＧＩＮＧ株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,,,73,,16.9,,CAGR明記,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標
（基準年度～事業化報告3年目）
• 年平均売上高成長率単体16.9％、コンソーシアム17.1％
• 売上高増加額単体73億円、コンソーシアム75億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_91.pdf
s2_outline_93,3次,東亜工業株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,163,2030,20.32,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（2030年度）
• 売上高成長率20.32％（基準年度比）
• 売上高増加額163億円（基準年度比）",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_93.pdf
s2_outline_94,3次,株式会社富士カーボン製造所,1,長期成長ビジョン,visual_manual_override,high,2024,49.42,2030,154.47,105.04,2030,312.5,2030,PDF表記（目標/基準比）,,20.917799248350576,,,原本画像目視確認済み,123,"当社全体の売上成長目標（～2030年）
単体：2024年度22.32億円→2030年度85.75億円、売上高成長率384.1%、増加額63.42億円
海外子会社：27.10億円→68.72億円、253.6%、増加額41.62億円
連結：49.42億円→154.47億円、312.5%、増加額105.04億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_94.pdf
