model,outcome,held_out_round,n,alpha,mae,r2,spearman,positive_n,C,roc_auc,balanced_accuracy
basic,lagging_accepted_dedup7,2次,23,,,,,11.0,0.01,0.6136363636363635,0.4810606060606061
basic,lagging_accepted_dedup7,3次,102,,,,,36.0,0.1,0.6531986531986532,0.6262626262626263
basic,lagging_accepted_dedup7,4次,93,,,,,34.0,0.03162277660168379,0.6166500498504487,0.5411266201395812
basic,lagging_accepted_dedup7,ALL_LOGO,357,,,,,128.0,0.020811388300841897,0.6225095524017467,0.5848457969432315
basic_project,lagging_accepted_dedup7,1次,139,,,,,47.0,0.0031622776601683794,0.6110083256244219,0.5485661424606845
basic_project,lagging_accepted_dedup7,2次,23,,,,,11.0,0.001,0.7272727272727272,0.5227272727272727
basic_project,lagging_accepted_dedup7,3次,102,,,,,36.0,0.0031622776601683794,0.7159090909090909,0.6325757575757576
basic_project,lagging_accepted_dedup7,4次,93,,,,,34.0,0.1,0.6590229312063809,0.6151545363908275
basic_project,lagging_accepted_dedup7,ALL_LOGO,357,,,,,128.0,0.0031622776601683794,0.6434907205240175,0.589792576419214
basic,lagging_applicant_dedup7,1次,139,,,,,3.0,0.31622776601683794,0.3799019607843137,0.3639705882352941
basic,lagging_applicant_dedup7,2次,23,,,,,4.0,0.001,0.5,0.4144736842105263
basic,lagging_applicant_dedup7,3次,102,,,,,8.0,10.0,0.5319148936170213,0.5372340425531915
basic,lagging_applicant_dedup7,4次,93,,,,,15.0,0.0031622776601683794,0.7230769230769231,0.6397435897435897
basic,lagging_applicant_dedup7,ALL_LOGO,357,,,,,30.0,0.15969502183850315,0.6038735983690112,0.5651376146788991
basic_project,lagging_applicant_dedup7,1次,139,,,,,3.0,0.0031622776601683794,0.19852941176470587,0.3492647058823529
basic_project,lagging_applicant_dedup7,2次,23,,,,,4.0,0.001,0.368421052631579,0.2894736842105263
basic_project,lagging_applicant_dedup7,3次,102,,,,,8.0,0.1,0.6090425531914894,0.6063829787234043
basic_project,lagging_applicant_dedup7,4次,93,,,,,15.0,0.001,0.7307692307692308,0.6435897435897435
basic_project,lagging_applicant_dedup7,ALL_LOGO,357,,,,,30.0,0.0020811388300841895,0.5933741080530072,0.5457186544342507
basic,dashboard9_lagging,1次,150,,,,,45.0,0.001,0.6099470899470899,0.6
basic,dashboard9_lagging,2次,24,,,,,8.0,0.001,0.515625,0.5
basic,dashboard9_lagging,3次,106,,,,,36.0,1.0,0.5706349206349206,0.5698412698412698
basic,dashboard9_lagging,4次,93,,,,,29.0,0.01,0.6217672413793104,0.5808189655172413
basic,dashboard9_lagging,ALL_LOGO,373,,,,,118.0,0.0055,0.5791625124626121,0.580225988700565
basic_project,dashboard9_lagging,1次,150,,,,,45.0,0.001,0.5544973544973545,0.5095238095238095
basic_project,dashboard9_lagging,2次,24,,,,,8.0,0.001,0.5703125,0.53125
basic_project,dashboard9_lagging,3次,106,,,,,36.0,100.0,0.5686507936507936,0.5694444444444444
basic_project,dashboard9_lagging,4次,93,,,,,29.0,0.03162277660168379,0.5926724137931035,0.5775862068965517
basic_project,dashboard9_lagging,ALL_LOGO,373,,,,,118.0,0.016311388300841896,0.5710202725157859,0.5466434031239615
