case_id,round,company,is_clean,current9_observed_n,current9_below_n,current9_below_share,current9_flag,directional8_no13_observed_n,directional8_no13_below_n,directional8_no13_below_share,directional8_no13_flag,without_no8_observed_n,without_no8_below_n,without_no8_below_share,without_no8_flag,without_no14_observed_n,without_no14_below_n,without_no14_below_share,without_no14_flag,old7_no8_no14_observed_n,old7_no8_no14_below_n,old7_no8_no14_below_share,old7_no8_no14_flag,no8_no13_no14_observed_n,no8_no13_no14_below_n,no8_no13_no14_below_share,no8_no13_no14_flag,direct_or_near_direct5_observed_n,direct_or_near_direct5_below_n,direct_or_near_direct5_below_share,direct_or_near_direct5_flag,direct_comparable3_observed_n,direct_comparable3_below_n,direct_comparable3_below_share,direct_comparable3_flag
s2_outline_216,3次,中本Fine Pack株式会社,False,7,4.0,0.5714285714285714,False,7,4.0,0.5714285714285714,False,6,3.0,0.5,False,6,3.0,0.5,False,5,2.0,0.4,False,5,2.0,0.4,False,4,2.0,0.5,False,3,1.0,0.3333333333333333,False
s1_outline_25,1次,日本リファイン株式会社,True,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,6,3.0,0.5,False,6,3.0,0.5,False,5,3.0,0.6,True,4,2.0,0.5,False,3,1.0,0.3333333333333333,False,2,1.0,0.5,False
s2_outline_156,4次,上野ロジケム株式会社,True,7,2.0,0.2857142857142857,False,6,1.0,0.16666666666666666,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False,2,1.0,0.5,False
s1_outline_16,1次,株式会社旭ウエルテック,False,6,3.0,0.5,False,6,3.0,0.5,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False
s1_outline_62,1次,サーパス工業株式会社,False,6,3.0,0.5,False,6,3.0,0.5,False,5,3.0,0.6,True,5,3.0,0.6,True,4,3.0,0.75,False,4,3.0,0.75,False,3,3.0,1.0,False,3,3.0,1.0,True
s1_outline_72,1次,ヤマセ電気株式会社,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,2.0,0.4,False,4,2.0,0.5,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,False,3,2.0,0.6666666666666666,True
s1_outline_85,1次,マルコ工業株式会社,True,6,3.0,0.5,False,6,3.0,0.5,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False
s2_outline_3,3次,さくら不動産株式会社,False,6,3.0,0.5,False,6,3.0,0.5,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,4,1.0,0.25,False,3,0.0,0.0,False,3,0.0,0.0,False
s2_outline_40,3次,株式会社英楽,True,6,3.0,0.5,False,6,3.0,0.5,False,5,2.0,0.4,False,5,3.0,0.6,True,4,2.0,0.5,False,4,2.0,0.5,False,3,1.0,0.3333333333333333,False,2,0.0,0.0,False
s2_outline_85,3次,Ｌ物流株式会社,True,6,3.0,0.5,False,6,3.0,0.5,False,5,2.0,0.4,False,5,2.0,0.4,False,4,1.0,0.25,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False,2,1.0,0.5,False
s2_outline_208,4次,NICHIRO株式会社,True,6,0.0,0.0,False,6,0.0,0.0,False,5,0.0,0.0,False,5,0.0,0.0,False,4,0.0,0.0,False,4,0.0,0.0,False,3,0.0,0.0,False,2,0.0,0.0,False
s1_outline_95,1次,ナミックス株式会社,False,9,5.0,0.5555555555555556,False,8,4.0,0.5,False,8,5.0,0.625,True,8,4.0,0.5,False,7,4.0,0.5714285714285714,False,6,3.0,0.5,False,5,3.0,0.6,True,3,3.0,1.0,True
