case_id,round,company,merge_key,has_financial_confirmation,financial_institution,official_list_url,core28
s2_outline_62,3次,株式会社エネルギーギャップ,3次|株式会社エネルギーギャップ,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_83,3次,株式会社キド,3次|株式会社キド,True,徳島大正銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_48,3次,株式会社サンワ,3次|株式会社サンワ,True,碧海信用金庫,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_99,3次,株式会社シュゼット・ホールディングス,3次|株式会社シュゼット・ホールディングス,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,True
s2_outline_105,3次,株式会社シード,3次|株式会社シード,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_84,3次,株式会社ジョヴィ,3次|株式会社ジョヴィ,True,三井住友銀行、みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_128,3次,株式会社タカラ倉庫運輸サービス,3次|株式会社タカラ倉庫運輸サービス,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_26,3次,株式会社ティーケーシン,3次|株式会社ティーケーシン,True,静岡銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_60,3次,株式会社トッカコーポレーション,3次|株式会社トッカコーポレーション,True,群馬銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_197,3次,株式会社ファイン,3次|株式会社ファイン,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_209,3次,株式会社ファーストダウン,3次|株式会社ファーストダウン,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_96,3次,株式会社フォース,3次|株式会社フォース,True,徳島大正銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_12,3次,株式会社フルサワ,3次|株式会社フルサワ,True,もみじ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_9,3次,株式会社マルト水谷,3次|株式会社マルト水谷,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_232,3次,株式会社モリシタ,3次|株式会社モリシタ,True,広島銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,True
s2_outline_109,3次,株式会社ヤマイシ,3次|株式会社ヤマイシ,True,日本政策金融公庫,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_16,3次,株式会社ヤマキ,3次|株式会社ヤマキ,True,西尾信用金庫,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_188,3次,株式会社ユビタス,3次|株式会社ユビタス,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_73,3次,株式会社ライジング,3次|株式会社ライジング,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_27,3次,株式会社ライト製作所,3次|株式会社ライト製作所,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_80,3次,株式会社レイズ,3次|株式会社レイズ,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_6,3次,株式会社上野凮月堂,3次|株式会社上野凮月堂,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_108,3次,株式会社丸杉,3次|株式会社丸杉,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_70,3次,株式会社光製作所,3次|株式会社光製作所,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_35,3次,株式会社北海道ちぬやファーム,3次|株式会社北海道ちぬやファーム,True,中国銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,True
s2_outline_78,3次,株式会社宮古島の雪塩,3次|株式会社宮古島の雪塩,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_94,3次,株式会社富士カーボン製造所,3次|株式会社富士カーボン製造所,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_74,3次,株式会社山福,3次|株式会社山福,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_61,3次,株式会社川金コアテック,3次|株式会社川金コアテック,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_33,3次,株式会社浪速ポンプ製作所,3次|株式会社浪速ポンプ製作所,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_151,3次,株式会社清水インダストリ－,3次|株式会社清水インダストリ－,True,群馬銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_45,3次,株式会社田中食品興業所,3次|株式会社田中食品興業所,True,りそな銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_40,3次,株式会社英楽,3次|株式会社英楽,True,宮崎銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_1,3次,株式会社角藤,3次|株式会社角藤,True,八十二銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_19,3次,株式会社高木製作所,3次|株式会社高木製作所,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,True
s2_outline_106,3次,河淳株式会社,3次|河淳株式会社,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_8,3次,牛乳石鹸共進社株式会社,3次|牛乳石鹸共進社株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_49,3次,白鷺特殊鋼株式会社,3次|白鷺特殊鋼株式会社,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_32,3次,第一物産株式会社,3次|第一物産株式会社,True,日本政策金融公庫,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_71,3次,至誠堂製薬株式会社,3次|至誠堂製薬株式会社,True,南都銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_41,3次,藤本化学製品株式会社,3次|藤本化学製品株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_15,3次,賀谷セロファン株式会社,3次|賀谷セロファン株式会社,True,北陸銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_43,3次,近江鍛工株式会社,3次|近江鍛工株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_140,3次,都吹株式会社,3次|都吹株式会社,True,中国銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_87,3次,長野牛乳株式会社,3次|長野牛乳株式会社,True,八十二銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_24,3次,高知食糧株式会社,3次|高知食糧株式会社,True,四国銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,True
s2_outline_91,3次,ＫＩＤＯ　ＰＡＣＫＡＧＩＮＧ株式会社,3次|ＫＩＤＯＰＡＣＫＡＧＩＮＧ株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_85,3次,Ｌ物流株式会社,3次|Ｌ物流株式会社,True,中国銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_163,4次,MHT株式会社,4次|MHT株式会社,True,福岡銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_211,4次,アサヒプリテック株式会社,4次|アサヒプリテック株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_154,4次,アルフレッド株式会社,4次|アルフレッド株式会社,True,静岡銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_171,4次,オギハラ食品株式会社,4次|オギハラ食品株式会社,True,福岡銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_153,4次,コモライフ株式会社,4次|コモライフ株式会社,True,商工組合中央金庫,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_193,4次,ソントン食品株式会社,4次|ソントン食品株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_183,4次,ナカシマヘルスフォース株式会社,4次|ナカシマヘルスフォース株式会社,True,中国銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_174,4次,ナカネ新建材株式会社,4次|ナカネ新建材株式会社,True,岡崎信用金庫,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_201,4次,ハムリー株式会社,4次|ハムリー株式会社,True,常陽銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_213,4次,ファインプラス株式会社,4次|ファインプラス株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_192,4次,フクビ岡山株式会社,4次|フクビ岡山株式会社,True,北陸銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_194,4次,リバードコーポレーション株式会社,4次|リバードコーポレーション株式会社,True,鳥取銀行､日本政策金融公庫,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,True
s2_outline_207,4次,ロートニッテン株式会社,4次|ロートニッテン株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_162,4次,三恵株式会社,4次|三恵株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_156,4次,上野ロジケム株式会社,4次|上野ロジケム株式会社,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_148,4次,丹羽鋳造株式会社,4次|丹羽鋳造株式会社,True,十六銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_155,4次,信和化工株式会社,4次|信和化工株式会社,True,滋賀銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_177,4次,八光エルアール株式会社,4次|八光エルアール株式会社,True,りそな銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_231,4次,創建ホーム株式会社,4次|創建ホーム株式会社,True,広島銀行,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
s2_outline_175,4次,化成工業株式会社,4次|化成工業株式会社,True,飯田信用金庫,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,False
