case_id,company,round_original,application_round,round_changed,old_core29,new_core28,membership_change
s2_outline_94,株式会社富士カーボン製造所,3次,3次,False,False,False,unchanged
s2_outline_119,株式会社群馬コイケ,4次,4次,False,False,False,unchanged
s2_outline_148,丹羽鋳造株式会社,4次,4次,False,False,False,unchanged
s2_outline_151,株式会社清水インダストリ－,3次,3次,False,False,False,unchanged
s2_outline_209,株式会社ファーストダウン,3次,3次,False,False,False,unchanged
s2_outline_214,株式会社 八天堂,3次,3次,False,False,False,unchanged
s2_outline_223,三ッ和商事株式会社,4次,4次,False,False,False,unchanged
s1_outline__197,株式会社福山臨床検査センター,2次,2次,False,False,False,unchanged
s1_outline__206,上山製紙株式会社,2次,2次,False,False,False,unchanged
s1_outline_4,株式会社インターオフィス,1次,1次,False,False,False,unchanged
s1_outline_11,大峰堂薬品工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_26,日星電気株式会社,1次,1次,False,False,False,unchanged
s1_outline_28,広陵化学工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_33,株式会社石井機械製作所,1次,1次,False,False,False,unchanged
s1_outline_37,大日工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_65,株式会社松風,1次,1次,False,False,False,unchanged
s1_outline_71,株式会社北四国グラビア印刷,1次,1次,False,False,False,unchanged
s1_outline_94,株式会社友和環境,1次,1次,False,False,False,unchanged
s2_outline_12,株式会社フルサワ,3次,3次,False,False,False,unchanged
s2_outline_23,大和鋼業株式会社,3次,3次,False,False,False,unchanged
s2_outline_25,有限会社ホテル十勝屋,3次,3次,False,False,False,unchanged
s2_outline_33,株式会社浪速ポンプ製作所,3次,3次,False,False,False,unchanged
s2_outline_96,株式会社フォース,3次,3次,False,False,False,unchanged
s2_outline_101,安藤パラケミー株式会社,3次,3次,False,False,False,unchanged
s2_outline_103,ベストアメニティ株式会社,3次,3次,False,False,False,unchanged
s2_outline_158,株式会社セントラルフード,4次,4次,False,False,False,unchanged
s2_outline_178,株式会社メタルテック,4次,4次,False,False,False,unchanged
s2_outline_179,株式会社クラスコ,4次,4次,False,False,False,unchanged
s2_outline_182,株式会社北十,4次,4次,False,False,False,unchanged
s2_outline_190,伊藤光学工業株式会社,3次,3次,False,False,False,unchanged
s2_outline_196,岩手雪運株式会社,4次,4次,False,False,False,unchanged
s2_outline_219,株式会社ナリコマフード,4次,4次,False,False,False,unchanged
s1_outline__207,株式会社ジェイ・イー・ティ,2次,1次,True,False,False,unchanged
s1_outline_173,中央紙通商株式会社,1次,2次,True,False,False,unchanged
s2_outline_43,近江鍛工株式会社,3次,3次,False,False,False,unchanged
s2_outline_69,松村フーズ株式会社,3次,3次,False,False,False,unchanged
s2_outline_127,株式会社キィポーション,4次,4次,False,False,False,unchanged
s2_outline_184,日電精密工業株式会社,4次,4次,False,False,False,unchanged
s1_outline_13,株式会社アロン社,1次,1次,False,False,False,unchanged
s1_outline_51,株式会社西部技研,1次,1次,False,False,False,unchanged
s1_outline_74,株式会社ユニシス,1次,1次,False,False,False,unchanged
s2_outline_113,株式会社アダチ,4次,4次,False,False,False,unchanged
