case_id,round,company,metric_no,metric_label,company_value,applicant_median,relative_gap_below_benchmark,absolute_relative_gap_lt_1pct,absolute_relative_gap_lt_5pct,absolute_relative_gap_lt_10pct,primary_core28
s2_outline_184,4次,日電精密工業株式会社,1,全社年平均売上高成長率,10.8,14.0,0.2285714285714285,False,False,False,False
s1_outline_13,1次,株式会社アロン社,1,全社年平均売上高成長率,10.0,7.0,-0.42857142857142855,False,False,False,False
s1_outline_51,1次,株式会社西部技研,1,全社年平均売上高成長率,8.0,7.0,-0.14285714285714285,False,False,False,False
s1_outline_74,1次,株式会社ユニシス,1,全社年平均売上高成長率,15.5,7.0,-1.2142857142857142,False,False,False,False
s2_outline_113,4次,株式会社アダチ,1,全社年平均売上高成長率,14.3,14.0,-0.02142857142857148,False,True,True,False
s2_outline_143,4次,株式会社ライズクリエイション,1,全社年平均売上高成長率,21.8,14.0,-0.5571428571428572,False,False,False,False
s2_outline_167,4次,株式会社カネヒロ,1,全社年平均売上高成長率,10.8,14.0,0.2285714285714285,False,False,False,False
s2_outline_193,4次,ソントン食品株式会社,1,全社年平均売上高成長率,9.8,14.0,0.29999999999999993,False,False,False,False
s2_outline_217,4次,院庄林業株式会社,1,全社年平均売上高成長率,8.0,14.0,0.42857142857142855,False,False,False,False
s2_outline_227,4次,株式会社トノックス,1,全社年平均売上高成長率,9.8,14.0,0.29999999999999993,False,False,False,False
s1_outline_12,1次,株式会社松岡,1,全社年平均売上高成長率,7.9,7.0,-0.12857142857142861,False,False,False,False
s2_outline_11,3次,たまご＆ファーマーズ株式会社,1,全社年平均売上高成長率,9.6,13.0,0.26153846153846155,False,False,False,False
s2_outline_84,3次,株式会社ジョヴィ,1,全社年平均売上高成長率,27.3,13.0,-1.1,False,False,False,False
s1_outline__182,2次,埼玉機器株式会社,1,全社年平均売上高成長率,13.0,9.0,-0.4444444444444444,False,False,False,False
s2_outline_37,3次,ノーラエンジニアリング株式会社,1,全社年平均売上高成長率,13.6,13.0,-0.04615384615384613,False,True,True,False
s1_outline_87,1次,トーカロ株式会社,1,全社年平均売上高成長率,6.0,7.0,0.14285714285714285,False,False,False,False
s1_outline_149,2次,株式会社共同物流サービス,1,全社年平均売上高成長率,9.6,9.0,-0.06666666666666662,False,False,True,False
s1_outline_150,2次,三笠産業株式会社,1,全社年平均売上高成長率,7.5,9.0,0.16666666666666666,False,False,False,False
s2_outline_90,3次,有価物回収協業組合　石坂グループ,1,全社年平均売上高成長率,13.38,13.0,-0.02923076923076929,False,True,True,False
s2_outline_125,4次,株式会社タンケンシールセーコウ,1,全社年平均売上高成長率,12.3,14.0,0.12142857142857137,False,False,False,False
s2_outline_166,4次,株式会社新潟食品運輸,1,全社年平均売上高成長率,9.3,14.0,0.3357142857142857,False,False,False,False
s1_outline_29,1次,株式会社三和テスコ,1,全社年平均売上高成長率,40.0,7.0,-4.714285714285714,False,False,False,False
s2_outline_2,3次,ガイア株式会社,1,全社年平均売上高成長率,35.6,13.0,-1.7384615384615385,False,False,False,False
s2_outline_31,3次,アトム株式会社,1,全社年平均売上高成長率,14.5,13.0,-0.11538461538461539,False,False,False,False
s2_outline_117,4次,瀬戸内海印刷株式会社,1,全社年平均売上高成長率,16.0,14.0,-0.14285714285714285,False,False,False,False
s2_outline_118,4次,株式会社光洋,1,全社年平均売上高成長率,8.6,14.0,0.38571428571428573,False,False,False,False
s2_outline_133,4次,株式会社ユタカ,1,全社年平均売上高成長率,16.3,14.0,-0.16428571428571434,False,False,False,False
s2_outline_138,4次,株式会社ジーケーエス,1,全社年平均売上高成長率,15.9,14.0,-0.13571428571428573,False,False,False,False
s2_outline_146,4次,セーレンアドバンストマテリアルズ株式会社,1,全社年平均売上高成長率,19.0,14.0,-0.35714285714285715,False,False,False,False
s2_outline_162,4次,三恵株式会社,1,全社年平均売上高成長率,8.9,14.0,0.36428571428571427,False,False,False,False
s2_outline_170,4次,鈴木鉄工株式会社,1,全社年平均売上高成長率,12.5,14.0,0.10714285714285714,False,False,False,False
s2_outline_180,4次,株式会社森田あられ,1,全社年平均売上高成長率,9.0,14.0,0.35714285714285715,False,False,False,False
s2_outline_202,4次,東海デキストリン株式会社,1,全社年平均売上高成長率,10.6,14.0,0.24285714285714288,False,False,False,False
s2_outline_211,4次,アサヒプリテック株式会社,1,全社年平均売上高成長率,0.8,14.0,0.9428571428571428,False,False,False,False
s1_outline_124,2次,株式会社シロ,1,全社年平均売上高成長率,11.0,9.0,-0.2222222222222222,False,False,False,False
s1_outline_125,2次,株式会社ミダック,1,全社年平均売上高成長率,10.7,9.0,-0.1888888888888888,False,False,False,False
s2_outline_47,3次,INTLOOP株式会社,1,全社年平均売上高成長率,24.3,13.0,-0.8692307692307693,False,False,False,False
s2_outline_204,4次,新日本電工株式会社,1,全社年平均売上高成長率,7.2,14.0,0.4857142857142857,False,False,False,False
s2_outline_160,4次,株式会社ダイドー,1,全社年平均売上高成長率,23.1,14.0,-0.6500000000000001,False,False,False,False
s2_outline_157,4次,株式会社ワイズマート,1,全社年平均売上高成長率,13.0,14.0,0.07142857142857142,False,False,True,False
s2_outline_231,4次,創建ホーム株式会社,1,全社年平均売上高成長率,15.54,14.0,-0.10999999999999995,False,False,False,False
s2_outline_21,3次,健栄製薬株式会社,1,全社年平均売上高成長率,7.8,13.0,0.4,False,False,False,False
s2_outline_39,3次,名古屋東部陸運株式会社,1,全社年平均売上高成長率,14.8,13.0,-0.13846153846153852,False,False,False,False
s2_outline_191,4次,株式会社ビクトリー,1,全社年平均売上高成長率,24.6,14.0,-0.7571428571428572,False,False,False,False
s2_outline_74,3次,株式会社山福,1,全社年平均売上高成長率,13.2,13.0,-0.01538461538461533,False,True,True,False
s1_outline_23,1次,株式会社ジェーイーエル,1,全社年平均売上高成長率,15.0,7.0,-1.1428571428571428,False,False,False,False
s1_outline_132,2次,株式会社ヨシノ自動車,1,全社年平均売上高成長率,10.0,9.0,-0.1111111111111111,False,False,False,False
s2_outline_222,4次,株式会社 日本橋冷凍手島商店,1,全社年平均売上高成長率,19.5,14.0,-0.39285714285714285,False,False,False,False
s1_outline_84,1次,株式会社マグナ・ワイヤレス,1,全社年平均売上高成長率,91.1,7.0,-12.014285714285714,False,False,False,False
s1_outline_129,2次,株式会社浜屋,1,全社年平均売上高成長率,10.8,9.0,-0.20000000000000007,False,False,False,False
s2_outline_141,4次,古川電気工業株式会社,1,全社年平均売上高成長率,14.2,14.0,-0.014285714285714235,False,True,True,False
s2_outline_144,4次,株式会社シー・エス・ケイ,1,全社年平均売上高成長率,30.0,14.0,-1.1428571428571428,False,False,False,False
s2_outline_189,4次,吉田海運ロジソリューションズ株式会社,1,全社年平均売上高成長率,25.0,14.0,-0.7857142857142857,False,False,False,False
s2_outline_131,4次,株式会社中村畜産,1,全社年平均売上高成長率,18.3,14.0,-0.3071428571428572,False,False,False,False
s2_outline_183,4次,ナカシマヘルスフォース株式会社,1,全社年平均売上高成長率,18.4,14.0,-0.31428571428571417,False,False,False,False
s2_outline_225,4次,株式会社山本製作所,1,全社年平均売上高成長率,16.7,14.0,-0.1928571428571428,False,False,False,False
s1_outline_131,2次,株式会社遠藤写真工芸所,1,全社年平均売上高成長率,53.8,9.0,-4.977777777777778,False,False,False,False
s1_outline_120,2次,旭陽電気株式会社,1,全社年平均売上高成長率,18.0,9.0,-1.0,False,False,False,False
s1_outline_126,2次,高末株式会社,1,全社年平均売上高成長率,13.1,9.0,-0.4555555555555555,False,False,False,False
s2_outline_77,3次,株式会社やまみ,1,全社年平均売上高成長率,16.7,13.0,-0.28461538461538455,False,False,False,False
s2_outline_139,4次,株式会社エルス,1,全社年平均売上高成長率,26.0,14.0,-0.8571428571428571,False,False,False,False
s1_outline__181,2次,株式会社ホテルニューアワジ,2,全社売上高増加額,32.9,23.1,-0.4242424242424241,False,False,False,True
s1_outline__195,2次,アシザワ・ファインテック株式会社,2,全社売上高増加額,31.6,23.1,-0.36796536796536794,False,False,False,False
s1_outline__196,1次,株式会社八立製作所,2,全社売上高増加額,7.7,19.5,0.6051282051282052,False,False,False,False
s2_outline_24,3次,高知食糧株式会社,2,全社売上高増加額,126.0,42.2,-1.9857819905213268,False,False,False,True
s2_outline_149,4次,株式会社サン海苔,2,全社売上高増加額,31.39,38.5,0.18467532467532466,False,False,False,True
s2_outline_172,4次,株式会社環境整備産業,2,全社売上高増加額,22.8,38.5,0.40779220779220776,False,False,False,True
s1_outline_27,1次,株式会社クラタ,2,全社売上高増加額,33.0,19.5,-0.6923076923076923,False,False,False,False
s1_outline_39,1次,株式会社ハウゼコ,2,全社売上高増加額,20.0,19.5,-0.02564102564102564,False,True,True,False
s1_outline_49,1次,株式会社ＡＫシステム,2,全社売上高増加額,18.1,19.5,0.07179487179487172,False,False,True,False
s1_outline_63,1次,株式会社オティックスホールディングス,2,全社売上高増加額,99.0,19.5,-4.076923076923077,False,False,False,True
s1_outline_164,1次,株式会社福砂屋グループ,2,全社売上高増加額,52.7,19.5,-1.7025641025641027,False,False,False,False
s2_outline_145,4次,株式会社シャノワール,2,全社売上高増加額,34.05,38.5,0.11558441558441566,False,False,False,False
