case_id,round,company,pdf_url,industry,subsidy_oku,project_cost_oku,visible_metric_count,below_accepted_count,below_accepted_share,visible_metric_lagging,value_added_increase_proxy_oku,value_added_subsidy_ratio_proxy_pct,sales_increase_per_subsidy,payroll_increase_per_subsidy,jobs_increase_per_subsidy_oku,project_sales_increase_proxy,project_sales_cagr_proxy,project_sales_share_proxy,above_accepted_value_added_increase_proxy,above_accepted_value_added_subsidy_ratio_proxy,above_accepted_project_sales_increase_proxy,above_accepted_project_sales_cagr_proxy,above_accepted_project_sales_share_proxy,has_quantitative_compensating_proxy,unresolved_visible_lag,theme_labor_saving,theme_innovation,theme_supply_chain,theme_green,theme_regional_jobs,theme_global,theme_new_capacity,theme_market_evidence,below_accepted_company_sales_cagr,below_accepted_company_sales_increase,below_accepted_labor_cagr,below_accepted_employee_pay_rate,below_accepted_employee_pay_total_increase,below_accepted_officer_pay_rate,below_accepted_investment_sales_ratio
s2_outline_192,4次,フクビ岡山株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_192.pdf,製造業,9.0,36.52,5,4.0,0.8,True,12.6732,140.81333333333333,3.933333333333333,0.18562222222222224,2.2222222222222223,,,,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,,1.0,1.0,1.0,1.0,0.0,
s1_outline_20,1次,エスティケイテクノロジー株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_20.pdf,製造業,6.7,21.0,4,3.0,0.75,True,7.0595,105.36567164179105,6.716417910447761,0.24044776119402983,2.2388059701492535,19.0,,,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,,1.0,1.0,0.0,1.0,,
s1_outline_35,1次,イグス株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_35.pdf,製造業,8.9,34.0,4,3.0,0.75,True,11.098519999999999,124.70247191011234,5.314606741573034,0.11560112359550562,1.1235955056179774,,,,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,,1.0,1.0,0.0,1.0,,
s1_outline_52,1次,株式会社平島,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_52.pdf,製造業,13.0,43.0,4,3.0,0.75,True,5.7955,44.58076923076923,3.4615384615384617,0.07423076923076923,1.0,,,,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,,1.0,1.0,0.0,1.0,,
s1_outline_53,1次,マルコーフーズ株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_53.pdf,製造業,13.0,41.0,4,3.0,0.75,True,3.309190000000001,25.4553076923077,2.3076923076923075,0.0748276923076923,-0.6153846153846154,,,,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,,1.0,1.0,0.0,1.0,,
s1_outline_62,1次,サーパス工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_62.pdf,製造業,50.0,200.0,4,3.0,0.75,True,30.7672,61.5344,,0.067984,0.96,,,,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,,,1.0,1.0,0.0,1.0,
s1_outline_72,1次,ヤマセ電気株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_72.pdf,製造業,7.2,29.0,4,3.0,0.75,True,11.6442,161.725,,0.6785,13.333333333333332,,,,False,True,False,False,False,True,False,False,True,False,True,False,True,True,True,,,1.0,1.0,0.0,1.0,
s1_outline_83,1次,株式会社ヒサダ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_83.pdf,製造業,4.4,19.0,4,3.0,0.75,True,,,4.59090909090909,,,,,,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False,,1.0,0.0,1.0,,1.0,
s1_outline_96,1次,大岡技研株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_96.pdf,製造業,15.0,52.0,4,3.0,0.75,True,11.13468000000001,74.23120000000007,,0.377048,1.8666666666666667,,,30.76923076923077,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,,,1.0,1.0,0.0,1.0,
s2_outline_35,3次,株式会社北海道ちぬやファーム,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_35.pdf,卸売業・小売業,11.0,41.0,4,3.0,0.75,True,3.0559,27.780909090909088,,0.016072727272727273,0.2727272727272727,,,,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,,,1.0,1.0,1.0,0.0,
s2_outline_99,3次,株式会社シュゼット・ホールディングス,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_99.pdf,サービス業_他に分類されないもの,34.0,104.0,4,3.0,0.75,True,4.8972,14.403529411764705,,0.07041176470588235,0.8235294117647058,,,,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,,,1.0,1.0,1.0,,0.0
s2_outline_195,4次,株式会社レクザム,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_195.pdf,製造業,4.5,19.0,4,3.0,0.75,True,4.404,97.86666666666666,22.22222222222222,0.20253333333333334,1.3333333333333333,,,,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,,0.0,1.0,1.0,1.0,,
s2_outline_232,3次,株式会社モリシタ,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_232.pdf,卸売業・小売業,4.4,18.0,4,3.0,0.75,True,1.2845,29.193181818181813,,0.08577272727272726,0.9090909090909091,,,,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,,,1.0,1.0,1.0,0.0,
s2_outline_43,3次,近江鍛工株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_43.pdf,製造業,5.9,24.0,7,5.0,0.7142857142857143,True,27.9351,473.4762711864406,24.406779661016948,0.6643220338983051,0.5084745762711864,,,,True,True,False,False,False,True,False,True,True,False,False,False,False,True,True,1.0,0.0,1.0,1.0,0.0,1.0,1.0
s2_outline_168,4次,明和工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_168.pdf,製造業,7.12,21.95,7,5.0,0.7142857142857143,True,9.88734,138.86713483146067,23.65168539325843,0.29479213483146066,4.213483146067416,,,,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,0.0,0.0,1.0,1.0,1.0,1.0,1.0
s2_outline_221,4次,株式会社ニシムタ,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_221.pdf,卸売業・小売業,32.63,134.39,7,5.0,0.7142857142857143,True,8.00514,24.53306772908367,4.4958627030340175,0.03074961691694759,0.30646644192460926,,,,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,1.0,0.0,0.0,1.0,1.0,1.0,1.0
s1_outline__184,2次,泉南乳業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__184.pdf,製造業,1.3,12.0,6,4.0,0.6666666666666666,True,8.4201,647.6999999999999,73.84615384615384,1.267,10.0,,,,False,True,False,False,False,True,False,True,False,True,True,False,True,True,True,,0.0,1.0,1.0,1.0,0.0,1.0
