round,metric_key,metric_label,category,statistic,applicant_value,accepted_value,unit,applicant_n,accepted_n,current_field,comparability,definition,source_url,accepted_minus_applicant,accepted_vs_applicant_pct
1次,officer_pay_total_increase,役員給与支給総額の増加額,地域への波及効果,median,0.03,0.05,億円,712,109,,unavailable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.020000000000000004,66.66666666666667
1次,investment_sales_ratio,全社売上高に対する投資額割合,大規模投資・費用対効果,median,50.0,36.0,%,712,109,investment_sales_ratio_pct,proxy,最新決算期の全社売上高に対する補助事業投資額,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,-14.0,-28.000000000000004
1次,value_added_subsidy_ratio,補助金額に対する付加価値増加額割合,大規模投資・費用対効果,median,61.0,126.0,%,712,109,value_added_subsidy_ratio_proxy_pct,proxy,基準年と事業化報告3年目を比較。公開PDF推計は補正前の付加価値粗近似値を使用,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,65.0,106.55737704918033
1次,local_benchmark_score,ローカルベンチマークの得点,実現可能性,median,22.0,23.0,点,712,109,,unavailable,ローカルベンチマーク得点,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,1.0,4.545454545454541
2次,company_sales_cagr,全社年平均売上高成長率,経営力,median,9.0,12.0,%/年,562,85,sales_cagr_pct,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,3.0,33.33333333333333
2次,company_sales_increase,全社売上高増加額,経営力,median,23.1,46.7,億円,562,85,sales_increase_oku_yen_normalized,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,23.6,102.16450216450217
2次,project_sales_share,全社売上高に対する補助事業売上高の割合,経営力,mean,69.0,78.0,%,562,85,,unavailable,事業化報告3年目における水準,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,9.0,13.043478260869556
2次,project_sales_cagr,補助事業年平均売上高成長率,先進性・成長性,median,14.0,19.0,%/年,562,85,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,5.0,35.71428571428572
2次,project_sales_increase,補助事業売上高増加額,先進性・成長性,median,18.5,41.2,億円,562,85,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,22.700000000000003,122.70270270270274
2次,labor_cagr,年平均労働生産性の伸び,先進性・成長性,median,17.0,22.0,%/年,562,85,labor_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,5.0,29.41176470588236
2次,value_added_increase,補助事業付加価値増加額,先進性・成長性,median,9.1,17.6,億円,562,85,value_added_increase_estimated_oku,proxy,基準年と事業化報告3年目を比較。公開PDF推計は粗近似値を1.1倍して水準補正,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,8.500000000000002,93.40659340659343
2次,employee_pay_rate,年平均従業員目標賃上げ率,地域への波及効果,median,5.0,5.4,%/年,562,85,employee_pay_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.40000000000000036,8.000000000000007
2次,employee_pay_total_increase,従業員給与支給総額の増加額,地域への波及効果,median,1.5,2.9,億円,562,85,employee_pay_total_increase_estimated_oku,proxy,公開された1人当たり給与と従業員数から基準年・目標年の総額差を推計,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,1.4,93.33333333333333
2次,officer_pay_rate,年平均役員目標賃上げ率,地域への波及効果,median,4.4,5.0,%/年,562,85,officer_pay_annual_rate_pct,comparable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.5999999999999996,13.636363636363624
2次,officer_pay_total_increase,役員給与支給総額の増加額,地域への波及効果,median,0.05,0.05,億円,562,85,,unavailable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.0,0.0
2次,investment_sales_ratio,全社売上高に対する投資額割合,大規模投資・費用対効果,median,48.0,46.0,%,562,85,investment_sales_ratio_pct,proxy,最新決算期の全社売上高に対する補助事業投資額,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,-2.0,-4.1666666666666625
2次,value_added_subsidy_ratio,補助金額に対する付加価値増加額割合,大規模投資・費用対効果,median,107.0,149.0,%,562,85,value_added_subsidy_ratio_proxy_pct,proxy,基準年と事業化報告3年目を比較。公開PDF推計は補正前の付加価値粗近似値を使用,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,42.0,39.252336448598136
2次,local_benchmark_score,ローカルベンチマークの得点,実現可能性,median,22.0,22.0,点,562,85,,unavailable,ローカルベンチマーク得点,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.0,0.0
3次,company_sales_cagr,全社年平均売上高成長率,経営力,median,13.0,14.0,%/年,229,116,sales_cagr_pct,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,1.0,7.692307692307687
3次,company_sales_increase,全社売上高増加額,経営力,median,42.2,62.3,億円,229,116,sales_increase_oku_yen_normalized,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,20.099999999999994,47.630331753554486
3次,company_pay_schedule_rate,全社賃上げ予定率,経営力,median,2.4,2.4,%,229,116,,unavailable,最新決算期と基準年を比較,https://seichotoushi-hojo.jp/assets/pdf/3ji_median.pdf,0.0,0.0
3次,project_sales_share,全社売上高に対する補助事業売上高の割合,経営力,mean,76.0,82.0,%,229,116,,unavailable,事業化報告3年目における水準,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,6.0,7.8947368421052655
3次,project_sales_cagr,補助事業年平均売上高成長率,先進性・成長性,median,18.0,21.0,%/年,229,116,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,3.0,16.666666666666675
3次,project_sales_increase,補助事業売上高増加額,先進性・成長性,median,37.7,56.1,億円,229,116,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,18.4,48.80636604774536
3次,labor_cagr,年平均労働生産性の伸び,先進性・成長性,median,22.0,26.0,%/年,229,116,labor_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,4.0,18.181818181818187
3次,value_added_increase,補助事業付加価値増加額,先進性・成長性,median,15.7,24.1,億円,229,116,value_added_increase_estimated_oku,proxy,基準年と事業化報告3年目を比較。公開PDF推計は粗近似値を1.1倍して水準補正,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,8.400000000000002,53.50318471337581
3次,employee_pay_rate,年平均従業員目標賃上げ率,地域への波及効果,median,6.0,6.2,%/年,229,116,employee_pay_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.20000000000000018,3.3333333333333437
3次,employee_pay_total_increase,従業員給与支給総額の増加額,地域への波及効果,median,2.4,3.5,億円,229,116,employee_pay_total_increase_estimated_oku,proxy,公開された1人当たり給与と従業員数から基準年・目標年の総額差を推計,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,1.1,45.83333333333335
3次,officer_pay_rate,年平均役員目標賃上げ率,地域への波及効果,median,5.0,5.3,%/年,229,116,officer_pay_annual_rate_pct,comparable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.2999999999999998,6.000000000000005
3次,officer_pay_total_increase,役員給与支給総額の増加額,地域への波及効果,median,0.08,0.12,億円,229,116,,unavailable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.039999999999999994,50.0
3次,investment_sales_ratio,全社売上高に対する投資額割合,大規模投資・費用対効果,median,57.0,61.0,%,229,116,investment_sales_ratio_pct,proxy,最新決算期の全社売上高に対する補助事業投資額,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,4.0,7.017543859649122
3次,value_added_subsidy_ratio,補助金額に対する付加価値増加額割合,大規模投資・費用対効果,median,139.0,171.0,%,229,116,value_added_subsidy_ratio_proxy_pct,proxy,基準年と事業化報告3年目を比較。公開PDF推計は補正前の付加価値粗近似値を使用,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,32.0,23.02158273381294
3次,local_benchmark_score,ローカルベンチマークの得点,実現可能性,median,22.0,22.0,点,229,116,,unavailable,ローカルベンチマーク得点,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.0,0.0
4次,company_sales_cagr,全社年平均売上高成長率,経営力,median,14.0,17.0,%/年,210,102,sales_cagr_pct,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,3.0,21.42857142857142
4次,company_sales_increase,全社売上高増加額,経営力,median,38.5,61.3,億円,210,102,sales_increase_oku_yen_normalized,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,22.799999999999997,59.22077922077922
4次,company_pay_schedule_rate,全社賃上げ予定率,経営力,median,2.5,2.4,%,210,102,,unavailable,最新決算期と基準年を比較,https://seichotoushi-hojo.jp/assets/pdf/4ji_median.pdf,-0.10000000000000009,-4.0000000000000036
4次,project_sales_share,全社売上高に対する補助事業売上高の割合,経営力,mean,77.0,85.0,%,210,102,,unavailable,事業化報告3年目における水準,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,8.0,10.389610389610393
4次,project_sales_cagr,補助事業年平均売上高成長率,先進性・成長性,median,22.0,26.0,%/年,210,102,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,4.0,18.181818181818187
4次,project_sales_increase,補助事業売上高増加額,先進性・成長性,median,31.3,53.5,億円,210,102,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,22.2,70.92651757188497
4次,labor_cagr,年平均労働生産性の伸び,先進性・成長性,median,25.0,30.0,%/年,210,102,labor_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,5.0,19.999999999999996
4次,value_added_increase,補助事業付加価値増加額,先進性・成長性,median,12.9,21.1,億円,210,102,value_added_increase_estimated_oku,proxy,基準年と事業化報告3年目を比較。公開PDF推計は粗近似値を1.1倍して水準補正,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,8.200000000000001,63.565891472868216
4次,employee_pay_rate,年平均従業員目標賃上げ率,地域への波及効果,median,6.5,6.5,%/年,210,102,employee_pay_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.0,0.0
4次,employee_pay_total_increase,従業員給与支給総額の増加額,地域への波及効果,median,2.0,2.9,億円,210,102,employee_pay_total_increase_estimated_oku,proxy,公開された1人当たり給与と従業員数から基準年・目標年の総額差を推計,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.8999999999999999,44.99999999999999
4次,officer_pay_rate,年平均役員目標賃上げ率,地域への波及効果,median,5.5,6.0,%/年,210,102,officer_pay_annual_rate_pct,comparable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.5,9.090909090909083
4次,officer_pay_total_increase,役員給与支給総額の増加額,地域への波及効果,median,0.07,0.1,億円,210,102,,unavailable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.03,42.85714285714286
4次,investment_sales_ratio,全社売上高に対する投資額割合,大規模投資・費用対効果,median,48.0,47.0,%,210,102,investment_sales_ratio_pct,proxy,最新決算期の全社売上高に対する補助事業投資額,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,-1.0,-2.083333333333337
4次,value_added_subsidy_ratio,補助金額に対する付加価値増加額割合,大規模投資・費用対効果,median,169.0,209.0,%,210,102,value_added_subsidy_ratio_proxy_pct,proxy,基準年と事業化報告3年目を比較。公開PDF推計は補正前の付加価値粗近似値を使用,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,40.0,23.66863905325445
4次,local_benchmark_score,ローカルベンチマークの得点,実現可能性,median,22.0,22.0,点,210,102,,unavailable,ローカルベンチマーク得点,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.0,0.0
5次,company_sales_cagr,全社年平均売上高成長率,経営力,median,20.0,21.0,%/年,198,77,sales_cagr_pct,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,1.0,5.000000000000004
5次,company_sales_increase,全社売上高増加額,経営力,median,67.1,82.4,億円,198,77,sales_increase_oku_yen_normalized,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,15.300000000000011,22.801788375558885
5次,company_pay_schedule_rate,全社賃上げ予定率,経営力,median,2.3,2.5,%,198,77,,unavailable,最新決算期と基準年を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,0.20000000000000018,8.69565217391306
5次,project_sales_share,全社売上高に対する補助事業売上高の割合,経営力,mean,80.0,89.0,%,198,77,,unavailable,事業化報告3年目における水準,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,9.0,11.250000000000004
5次,project_sales_cagr,補助事業年平均売上高成長率,先進性・成長性,median,22.0,22.0,%/年,198,77,,unavailable,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,0.0,0.0
5次,project_sales_increase,補助事業売上高増加額,先進性・成長性,median,57.4,74.8,億円,198,77,,unavailable,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,17.4,30.313588850174213
5次,labor_cagr,補助事業年平均労働生産性の伸び,先進性・成長性,median,21.0,21.0,%/年,198,77,labor_annual_rate_pct,comparable,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,0.0,0.0
5次,value_added_increase,補助事業付加価値増加額,先進性・成長性,median,19.9,28.1,億円,198,77,value_added_increase_estimated_oku,proxy,基準年の前年と事業化報告3年目を比較。公開PDF推計は粗近似値を1.1倍して水準補正,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,8.200000000000003,41.20603015075379
5次,employee_pay_rate,年平均従業員目標賃上げ率,地域への波及効果,median,6.5,7.0,%/年,198,77,employee_pay_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,0.5,7.692307692307687
5次,employee_pay_total_increase,従業員給与支給総額の増加額,地域への波及効果,median,2.8,3.9,億円,198,77,employee_pay_total_increase_estimated_oku,proxy,公開された1人当たり給与と従業員数から基準年・目標年の総額差を推計,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,1.1,39.2857142857143
5次,investment_sales_ratio,全社売上高に対する投資額割合,大規模投資・費用対効果,median,64.0,61.0,%,198,77,investment_sales_ratio_pct,proxy,最新決算期の全社売上高に対する補助事業投資額,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,-3.0,-4.6875
5次,value_added_subsidy_ratio,補助金額に対する付加価値増加額割合,大規模投資・費用対効果,median,171.0,213.0,%,198,77,value_added_subsidy_ratio_proxy_pct,proxy,基準年と事業化報告3年目を比較。公開PDF推計は補正前の付加価値粗近似値を使用,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,42.0,24.56140350877194
5次,local_benchmark_score,ローカルベンチマークの得点,実現可能性,median,23.0,23.0,点,198,77,,unavailable,ローカルベンチマーク得点,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/5ji_median.pdf,0.0,0.0
